,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,max,maximum
601,0.05361116538701337,0.05664533556084101,0.04510658455954813,0.06254187294338633,0.05434337665965755,0.0899678857748893,2014,7,贵州省,0.7540489142667659,1.0701747721499573
634,0.066154442221042,0.06772807699246497,0.05333967765477043,0.06254026084863065,0.057896027015559404,0.09250068963752826,2014,8,贵州省,0.7540489142667659,1.0701747721499573
667,0.061430727031656335,0.061679690243656285,0.05413683161765644,0.06223907891873029,0.06387783980564285,0.08856392069950904,2014,9,贵州省,0.7540489142667659,1.0701747721499573
700,0.08639462424717435,0.0857739925764856,0.0742897636045757,0.07613007048849267,0.07160434881480955,0.09205607636926853,2014,10,贵州省,0.7540489142667659,1.0701747721499573
733,0.07151582471134597,0.07658239069237076,0.09607717831108313,0.09515378928897691,0.08283655496775226,0.05754785375205309,2014,11,贵州省,0.7540489142667659,1.0701747721499573
766,0.09925417534010851,0.11004017982941773,0.1304832928583293,0.14689123710443444,0.14261196315897046,0.05958331976549752,2014,12,贵州省,0.7540489142667659,1.0701747721499573
799,0.13245564415389297,0.12393949195928454,0.1369744806151971,0.13432401498263669,0.13093959740086117,0.06433037256780728,2015,1,贵州省,0.7229636016796797,1.0701747721499573
832,0.10344214767161804,0.09876928872420561,0.10419520301651904,0.09612850557509647,0.11216798315188452,0.07521576643090949,2015,2,贵州省,0.7229636016796797,1.0701747721499573
865,0.09172921157715706,0.09194236167158716,0.09076157021391415,0.0840089909878731,0.09369709841757326,0.08576007684393355,2015,3,贵州省,0.7229636016796797,1.0701747721499573
898,0.08243763938380223,0.08433338241043178,0.07343532057019572,0.07855108071713786,0.07052677812468616,0.1035826559002044,2015,4,贵州省,0.7229636016796797,1.0701747721499573
931,0.07800826188019475,0.07848563865706878,0.06453341260787118,0.06357957271396636,0.06826296737982053,0.10132278982092317,2015,5,贵州省,0.7229636016796797,1.0701747721499573
964,0.05332950991688916,0.05618152183864287,0.05495737486867372,0.05622268844271229,0.06262534930621874,0.08726577067661329,2015,6,贵州省,0.7229636016796797,1.0701747721499573
997,0.07324556831037925,0.07646106732937795,0.059702764556057844,0.06681560020946947,0.06497578397132302,0.10228142542573623,2015,7,贵州省,0.7229636016796797,1.0701747721499573
1030,0.06543226460580694,0.06821420707886215,0.05839353287085479,0.06723632597280126,0.06432901715418307,0.0895611643345459,2015,8,贵州省,0.7229636016796797,1.0701747721499573
1063,0.07387208187888519,0.07456872397823126,0.07030648589174755,0.06700966317862567,0.07417575068667366,0.08308579136190054,2015,9,贵州省,0.7229636016796797,1.0701747721499573
1096,0.08638594973109938,0.08751446992111706,0.07984544614414849,0.08384563325177445,0.07226353216527576,0.08728750124696041,2015,10,贵州省,0.7229636016796797,1.0701747721499573
1129,0.06986311864614979,0.07241997297824675,0.08927802328563483,0.09262199984174446,0.0919123069164882,0.06006354209497843,2015,11,贵州省,0.7229636016796797,1.0701747721499573
1162,0.08979860224412516,0.08716987345294397,0.11761638535918563,0.10965592412616208,0.09412383532501208,0.06024314329548721,2015,12,贵州省,0.7229636016796797,1.0701747721499573
1201,0.1195497584445136,0.11498970003316157,0.11330192891356158,0.12776650185138075,0.11307950113145351,0.052942441958332816,2016,1,浙江省,0.6416298323324038,1.0701747721499573
1234,0.10701529515111591,0.1076372551648148,0.0882191000272031,0.075201310311739,0.08741635208172997,0.08693080446216182,2016,2,浙江省,0.6416298323324038,1.0701747721499573
1267,0.11214758933026958,0.11337643962399614,0.10156412193896432,0.10502500741141908,0.08593519785264882,0.09398627057410791,2016,3,浙江省,0.6416298323324038,1.0701747721499573
1300,0.08299778904264837,0.08397171958826422,0.08234290294858593,0.09213191724255415,0.08524231916232981,0.09415040203254009,2016,4,浙江省,0.6416298323324038,1.0701747721499573
1333,0.08227720128193038,0.08142286702384863,0.0712952658215979,0.07224453888038009,0.08253373761125785,0.10378915850714401,2016,5,浙江省,0.6416298323324038,1.0701747721499573
1366,0.06144478335879621,0.06105367289122089,0.06896912542775892,0.0556126134497628,0.07039249479422222,0.09236822618219402,2016,6,浙江省,0.6416298323324038,1.0701747721499573
1399,0.05326855196918236,0.05457324920868571,0.060049147545439614,0.04546573868532522,0.06110379460191767,0.08879334321055907,2016,7,浙江省,0.6416298323324038,1.0701747721499573
1432,0.05194329235417556,0.05402928781800817,0.05763485034795313,0.04370681200088975,0.062268376522269325,0.10389102864308411,2016,8,浙江省,0.6416298323324038,1.0701747721499573
1465,0.0681305744780401,0.06492218717174683,0.07438785339114828,0.05800275901282952,0.06735129194298782,0.09974856497913505,2016,9,浙江省,0.6416298323324038,1.0701747721499573
1498,0.05854868139198209,0.06132515887270229,0.07254619549815297,0.08160093790295415,0.07751872128486612,0.07124132442083157,2016,10,浙江省,0.6416298323324038,1.0701747721499573
1531,0.08740352213347638,0.08881891275922932,0.09934418980257881,0.10989329284950838,0.09759132366656863,0.05855792321718322,2016,11,浙江省,0.6416298323324038,1.0701747721499573
1564,0.11527296106386939,0.11387954984432126,0.11034531833705542,0.13334857040125714,0.10956688934774826,0.053600511812726244,2016,12,浙江省,0.6416298323324038,1.0701747721499573
1597,0.11085392517604944,0.10453235807349709,0.09713856239549798,0.10317968841011745,0.10698268555389343,0.05806517711183009,2017,1,浙江省,0.6948874707959078,1.0701747721499573
1630,0.11228925765558523,0.10256156960315438,0.09420063763556309,0.08829399355164717,0.09498796625563519,0.07610060885433619,2017,2,浙江省,0.6948874707959078,1.0701747721499573
1663,0.09318370019136037,0.09237932898696771,0.09406721196564018,0.09740012244946315,0.0833681010054123,0.08554635872125518,2017,3,浙江省,0.6948874707959078,1.0701747721499573
1696,0.09052725482096743,0.09537086690389303,0.09793436374041187,0.08649018551144655,0.08684501428318483,0.10333306087262106,2017,4,浙江省,0.6948874707959078,1.0701747721499573
1729,0.07569671171103165,0.080112488453045,0.07645107752340861,0.06380369991728314,0.07074055004718441,0.11382033665577972,2017,5,浙江省,0.6948874707959078,1.0701747721499573
1762,0.061745251316308425,0.06034364533811946,0.06584351825363947,0.06254019141017333,0.0720898418971577,0.08880832144904359,2017,6,浙江省,0.6948874707959078,1.0701747721499573
1795,0.04922314370962029,0.05296314603599936,0.057415163013824225,0.047544923409162616,0.05593742427683852,0.08767202596987372,2017,7,浙江省,0.6948874707959078,1.0701747721499573
1828,0.05369808964806821,0.05591338277184488,0.06667068643951812,0.04531673938910764,0.0648209400611376,0.08934840225548206,2017,8,浙江省,0.6948874707959078,1.0701747721499573
1861,0.05989072180894797,0.0611470871916199,0.06621901481123578,0.06162057342655326,0.07573126581136039,0.09858270367750313,2017,9,浙江省,0.6948874707959078,1.0701747721499573
1894,0.0657069885915964,0.06842472654707739,0.08014171358132582,0.07749724567570294,0.07866018132626725,0.08946073315625935,2017,10,浙江省,0.6948874707959078,1.0701747721499573
1927,0.0910539015827431,0.09322236302865133,0.08840571770413247,0.12017967969134123,0.09557597685836382,0.05944023405132854,2017,11,浙江省,0.6948874707959078,1.0701747721499573
1960,0.13613105378772156,0.13302903706613045,0.11551233293580247,0.1461329571580015,0.1142600526235645,0.049822037224687254,2017,12,浙江省,0.6948874707959078,1.0701747721499573
1993,0.12493947685443374,0.11480106260820336,0.111796874303529,0.13550785657210326,0.11339770579550322,0.053101822240945284,2018,1,浙江省,0.6535447983747179,1.0701747721499573
2026,0.11839375254106929,0.10989338219518027,0.10149184790582208,0.08109716717691322,0.09925271146280538,0.08131753892665364,2018,2,浙江省,0.6535447983747179,1.0701747721499573
2059,0.08629358402729044,0.08418288043927144,0.08312067287961702,0.09109220039215779,0.08462939356444395,0.08735468052969451,2018,3,浙江省,0.6535447983747179,1.0701747721499573
2092,0.09532115866522187,0.10784131489708541,0.08717179945840862,0.08674136511236102,0.08051186157132176,0.10727431780403071,2018,4,浙江省,0.6535447983747179,1.0701747721499573
2125,0.08106916966312035,0.08252713472534161,0.07624236367694909,0.06701102829066499,0.08242129199943414,0.10864393840460121,2018,5,浙江省,0.6535447983747179,1.0701747721499573
2158,0.06683820153198924,0.06508976586409812,0.06621945247747045,0.05781615164986539,0.06810109556048363,0.10747666093694365,2018,6,浙江省,0.6535447983747179,1.0701747721499573
2191,0.04785777917541799,0.05117570346479197,0.05712178902482344,0.04378775816209668,0.05673640180695541,0.07870274305565415,2018,7,浙江省,0.6535447983747179,1.0701747721499573
2224,0.05331439805081218,0.05634243774026214,0.06299212430927927,0.045045756623655564,0.06869224123833327,0.0924277763286061,2018,8,浙江省,0.6535447983747179,1.0701747721499573
2257,0.059010016304265965,0.06271546961904856,0.07174762431151029,0.06170265147928011,0.07217313797343926,0.09282447294855385,2018,9,浙江省,0.6535447983747179,1.0701747721499573
2290,0.0784393905903782,0.08122602915716327,0.09352231749081671,0.09396749182554527,0.07926913288662808,0.09493752089038819,2018,10,浙江省,0.6535447983747179,1.0701747721499573
2323,0.08078400666956456,0.08184289357549093,0.08303845978121648,0.11124190719464525,0.08920943715347575,0.056227056699698776,2018,11,浙江省,0.6535447983747179,1.0701747721499573
2356,0.10773906592643608,0.10236192571406284,0.10553467438055757,0.12498866552071149,0.10560558898717615,0.039711471234229974,2018,12,浙江省,0.6535447983747179,1.0701747721499573
13,0.13797962383391443,0.12337990607291396,0.13995951658360772,0.13395261416954726,0.14322132097657023,0.0511600486436095,2013,1,浙江省,0.8602515385419371,1.0701747721499573
46,0.08402287425761396,0.0743778909387387,0.060285811337972214,0.06782861472923749,0.093802607847119,0.07024566938764391,2013,2,浙江省,0.8602515385419371,1.0701747721499573
79,0.08520844391996144,0.0924609562357226,0.09333481622086691,0.0944018712107896,0.07873122409989897,0.0850158559285065,2013,3,浙江省,0.8602515385419371,1.0701747721499573
112,0.08375737553763332,0.09051204936507766,0.08767074549301286,0.08690802861522329,0.07156671730348464,0.10681315046130645,2013,4,浙江省,0.8602515385419371,1.0701747721499573
145,0.07119154101292073,0.07048121377554666,0.06781696644165375,0.06120858980645443,0.0636728314819043,0.11003983425020533,2013,5,浙江省,0.8602515385419371,1.0701747721499573
178,0.055407389607600756,0.05346414888932522,0.0545686750673961,0.05856124821871455,0.061607996420640215,0.09161248574977537,2013,6,浙江省,0.8602515385419371,1.0701747721499573
211,0.03564848563568763,0.04076348754153862,0.04308948502164934,0.04053718567266342,0.04945140814705118,0.09375677030998378,2013,7,浙江省,0.8602515385419371,1.0701747721499573
244,0.043119543095017525,0.04726360847879755,0.04644240009566158,0.04574815638256356,0.057733528141246285,0.08863081687992781,2013,8,浙江省,0.8602515385419371,1.0701747721499573
277,0.057140251735440496,0.05758957129237099,0.0582324220446758,0.06329238652762811,0.05934913346762519,0.09854454016076326,2013,9,浙江省,0.8602515385419371,1.0701747721499573
310,0.07083339480472173,0.07422692335749437,0.07785407294056108,0.08373284973399359,0.07100754311490717,0.0922037241803936,2013,10,浙江省,0.8602515385419371,1.0701747721499573
343,0.0984277715082583,0.10974139543096079,0.10289128375522825,0.11082251565270182,0.1038849052780917,0.06155824717834829,2013,11,浙江省,0.8602515385419371,1.0701747721499573
376,0.17726330505122953,0.16573884862151284,0.16785380499771435,0.15300593928048298,0.14597078372146122,0.05041885686953631,2013,12,浙江省,0.8602515385419371,1.0701747721499573
409,0.14585857868866914,0.1307428552379121,0.13327811739284484,0.12820488654389356,0.11272685695039013,0.05658902124850635,2014,1,浙江省,0.7074003160622161,1.0701747721499573
442,0.08165498206731173,0.06838815618371415,0.06894293008027413,0.07601107245711372,0.08882924490150458,0.06489725446060288,2014,2,浙江省,0.7074003160622161,1.0701747721499573
