,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,time,id
225,18.338104715892687,22.845018994179554,7.804374081667876,4.986365497057634,272.4006737289126,58.67409674798794,2013,7,内蒙古自治区,2013下半年,1
230,24.88168873532545,29.11855187068204,7.454184027777779,7.445097390232974,336.4809393018577,55.2592613102891,2013,7,黑龙江省,2013下半年,1
203,14.658037805629753,18.65366928064288,6.007957343104354,14.93151850329886,186.9893158002877,56.24683398397371,2013,7,台湾省,2013下半年,1
219,23.390220884866253,30.054921382504958,6.76857292003169,4.119406483147967,307.3081398926278,67.53086209273616,2013,7,甘肃省,2013下半年,1
198,26.16369204532316,34.76014261764366,6.720904012024512,6.545164123020004,358.09767603191125,59.74317386981153,2013,7,海南省,2013下半年,1
411,70.65949301058671,93.7187184440096,19.54926478173047,22.17394485046071,863.8319520066788,56.0520778061595,2014,1,安徽省,2014上半年,0
404,68.92570540902238,86.92463974696729,21.452147335516987,15.574592011387134,1004.215440930162,57.45035056771701,2014,1,湖南省,2014上半年,0
413,58.896832468077065,85.32177990121609,23.500026652831608,17.360026434539492,1137.8246218530614,57.65309904542058,2014,1,陕西省,2014上半年,0
418,54.76801516190059,87.49749366768776,32.13571469020529,22.127205818753797,1382.4598742691624,56.051473287220624,2014,1,山西省,2014上半年,0
426,75.6166059285572,106.28701016598393,27.501920062439552,39.1060487177846,1092.3918579677988,62.752661750796506,2014,1,北京市,2014上半年,0
409,51.416603782284135,68.28905693243114,15.345961868736332,29.147533678182246,783.3744984198005,62.78602660909448,2014,1,浙江省,2014上半年,0
400,26.075831797235022,37.24280574756784,6.971836533538148,27.304581221198152,585.321044546851,57.15258115719406,2014,1,香港,2014上半年,0
414,87.38514836696858,126.7195104221622,33.9475419515511,31.113076924272118,1361.5582748026907,60.54249325776436,2014,1,河南省,2014上半年,0
399,50.80638144607513,62.90554479707625,12.998318429729174,11.461962526416016,771.0818363251778,63.25993186561868,2014,1,广西壮族自治区,2014上半年,0
416,11.035964309739407,11.806562883301304,0.9308791772892921,0.6885270882610005,133.62967359881702,82.97595954978853,2014,1,青海省,2014上半年,0
421,73.9210752450552,120.1139140729294,35.06551450509121,31.652797238549024,1137.9425424113372,60.4950366693648,2014,1,河北省,2014上半年,0
425,47.11755057906395,73.57605970701754,26.754339076884847,22.79435681185605,1061.785173762713,60.047523866504264,2014,1,辽宁省,2014上半年,0
406,37.05371552629859,48.11760055842452,9.639110958925588,8.157284280043386,494.23783670822235,73.44096898120321,2014,1,四川省,2014上半年,0
407,5.71889166731376,6.274217441352202,0.49399285844677615,0.46099058054804837,133.13805931698457,91.43745834620226,2014,1,西藏自治区,2014上半年,0
408,62.803197438058255,78.23861562091083,22.60062846368834,12.135998070987654,714.9954706434543,60.20696954471754,2014,1,重庆市,2014上半年,0
403,55.26399019888882,68.18245679797639,20.01631607380916,10.78223321296939,615.9494687248144,63.03623091557654,2014,1,贵州省,2014上半年,0
412,71.41958862385376,107.8902956997975,24.446933356898473,30.420314818402925,1025.7373740283012,67.82916121264489,2014,1,江苏省,2014上半年,0
397,40.86611117705963,53.97871976008997,12.134778441637982,20.6195024328038,1121.81510901761,54.479789099697314,2014,1,广东省,2014上半年,0
405,46.56250598642939,58.94315733129915,14.528766599092272,12.618862255173447,616.1724813735017,60.93053307992937,2014,1,江西省,2014上半年,0
410,75.80857704865068,101.70529616923282,24.090147011662136,19.68505186252707,902.2924643954578,59.48549043748886,2014,1,湖北省,2014上半年,0
422,27.00420380042452,29.244867975324638,1.7716162825789536,1.4749667901080237,200.04639107041316,71.89619414035704,2014,1,新疆维吾尔自治区,2014上半年,0
402,33.751526627382056,44.26267862128944,11.148851102979954,13.803585342390754,598.1524009446717,65.54452460609913,2014,1,福建省,2014上半年,0
427,35.65720784841596,47.35138811099296,11.937860855094728,12.90643415661266,538.5758228825151,62.96215324167889,2014,1,吉林省,2014上半年,0
415,53.6056564206776,71.37007914106503,18.07295179958184,38.48669320169825,757.1025772316094,67.83825078405017,2014,1,上海市,2014上半年,0
398,30.102525529148306,37.75349512988041,7.784552316503235,4.985824396596386,568.6953552864757,77.80986848768693,2014,1,云南省,2014上半年,0
419,81.38679694128994,135.66934068180362,47.76744440139408,38.92125788279021,1312.9901290825471,65.12498956180814,2014,1,山东省,2014上半年,0
420,42.237813979051175,61.94550446303345,24.96586073654801,13.61216525245442,592.5391181905206,64.84513343351365,2014,1,宁夏回族自治区,2014上半年,0
424,87.34311436547326,131.85294582053254,46.17394986263736,50.03950830576235,1582.7318277600536,54.79803975885226,2014,1,天津市,2014上半年,0
423,22.16358838078446,28.716698357891236,8.646608060727543,5.105681284358681,318.9707764209833,62.07098305667193,2014,1,内蒙古自治区,2014上半年,0
428,22.75304082464176,28.41044234384624,6.829107358697045,7.361546630636535,380.95198307184677,58.749344852273445,2014,1,黑龙江省,2014上半年,0
401,20.09311453798011,24.309476482367483,6.07739481477133,15.719740647248557,213.32004168011974,63.36928907022025,2014,1,台湾省,2014上半年,0
417,30.34796970600968,41.44212837690283,7.34014662239671,4.873372254759926,405.65710457829846,71.42906891805885,2014,1,甘肃省,2014上半年,0
396,20.55493604875873,28.56769076854467,3.6304299175792405,5.982225937763243,376.9998290471235,55.2021115133046,2014,1,海南省,2014上半年,0
609,47.50837614948037,68.04833891009218,18.35757030492091,23.290716198160826,869.2879989311213,53.26859395386395,2014,7,安徽省,2014下半年,1
602,52.789856716891784,72.14775938230376,21.832588140676222,16.514164469078853,885.6679289886506,56.0328812135887,2014,7,湖南省,2014下半年,1
611,41.274789592679625,64.35399533971058,17.98825811396742,17.735283848417954,938.3503742473513,55.67385522245167,2014,7,陕西省,2014下半年,1
616,47.68631550075019,73.23174922636909,34.1843920667667,22.691329439130612,1263.6624208135365,52.066373991935485,2014,7,山西省,2014下半年,1
624,64.4707740442055,90.37047463659896,14.232113425925926,34.460283303464756,959.411389884508,60.77875547590602,2014,7,北京市,2014下半年,1
607,41.48837026212183,60.72846169204494,15.355093671068774,27.823199746618233,724.3530826778283,58.46256336548715,2014,7,浙江省,2014下半年,1
598,27.34484139784946,40.75442741935484,8.050275089605735,26.20069623655914,694.3297491039426,59.1994023297491,2014,7,香港,2014下半年,1
612,61.671900180447416,96.65679303917933,29.076759918427886,29.084446797676424,1158.9477963168952,54.87525290816958,2014,7,河南省,2014下半年,1
597,43.03303745536604,57.62372183880089,14.797371474466168,10.845516644201892,642.0574067880779,64.80885819660222,2014,7,广西壮族自治区,2014下半年,1
614,8.31891761907613,8.820645132527265,0.9791323934269945,0.8226427481283473,147.91380063325983,79.85474230588163,2014,7,青海省,2014下半年,1
619,61.28743643895006,95.67120587641921,24.170400646019786,29.280187869422438,1028.1636232910525,57.30157948833516,2014,7,河北省,2014下半年,1
623,44.80760076005606,68.8932125941068,22.568965249040232,23.18105790718674,1062.5955720640618,58.549728299346874,2014,7,辽宁省,2014下半年,1
604,28.745657423745058,38.24880563305466,8.856709179749359,8.193914977185935,452.85038732801485,67.4069249506938,2014,7,四川省,2014下半年,1
605,6.112353166137409,6.579394838083015,0.5203389508057333,0.7269243245341869,129.02866429898037,89.0192031873894,2014,7,西藏自治区,2014下半年,1
606,51.05938592194345,66.0915029022302,19.382897043010754,14.571545708880926,643.3921196734369,56.83600822381522,2014,7,重庆市,2014下半年,1
601,43.133710385500706,57.719887830226526,16.605595069724103,11.021917943288912,553.2124959060444,58.23853939423295,2014,7,贵州省,2014下半年,1
610,50.41118787878788,79.74936027207559,21.32161242668622,28.451319538123176,845.0957233626588,60.01511451205604,2014,7,江苏省,2014下半年,1
595,36.166367540039026,51.02859389773604,13.573538836713396,17.492304625470716,845.4034208974184,60.20991449344404,2014,7,广东省,2014下半年,1
